domain,year,gender,variable,value
Applied Sciences,2005,Female,inbreeding3,0.202702703
Applied Sciences,2005,Female,inbreeding4,0.278716216
Applied Sciences,2006,Male,inbreeding1,0.054626533
Applied Sciences,2006,Male,inbreeding2,0.140468227
Applied Sciences,2006,Male,inbreeding3,0.153846154
Applied Sciences,2006,Male,inbreeding4,0.239687848
Applied Sciences,2006,Female,inbreeding1,0.086124402
Applied Sciences,2006,Female,inbreeding2,0.185007974
Applied Sciences,2006,Female,inbreeding3,0.175438596
Applied Sciences,2006,Female,inbreeding4,0.274322169
Applied Sciences,2007,Male,inbreeding1,0.064285714
Applied Sciences,2007,Male,inbreeding2,0.146938776
Applied Sciences,2007,Male,inbreeding3,0.170408163
Applied Sciences,2007,Male,inbreeding4,0.253061224
Applied Sciences,2007,Female,inbreeding1,0.070950469
Applied Sciences,2007,Female,inbreeding2,0.140562249
Applied Sciences,2007,Female,inbreeding3,0.157965194
Applied Sciences,2007,Female,inbreeding4,0.227576975
Applied Sciences,2008,Male,inbreeding1,0.0684803
Applied Sciences,2008,Male,inbreeding2,0.157598499
Applied Sciences,2008,Male,inbreeding3,0.165103189
Applied Sciences,2008,Male,inbreeding4,0.254221388
Applied Sciences,2008,Female,inbreeding1,0.093480935
Applied Sciences,2008,Female,inbreeding2,0.185731857
Applied Sciences,2008,Female,inbreeding3,0.18696187
Applied Sciences,2008,Female,inbreeding4,0.279212792
Applied Sciences,2009,Male,inbreeding1,0.059915612
Applied Sciences,2009,Male,inbreeding2,0.134177215
Applied Sciences,2009,Male,inbreeding3,0.157805907
Applied Sciences,2009,Male,inbreeding4,0.232067511
Applied Sciences,2009,Female,inbreeding1,0.078674948
Applied Sciences,2009,Female,inbreeding2,0.141821946
Applied Sciences,2009,Female,inbreeding3,0.183229814
Applied Sciences,2009,Female,inbreeding4,0.246376812
Applied Sciences,2010,Male,inbreeding1,0.065340909
Applied Sciences,2010,Male,inbreeding2,0.144886364
Applied Sciences,2010,Male,inbreeding3,0.1640625
Applied Sciences,2010,Male,inbreeding4,0.243607955
Applied Sciences,2010,Female,inbreeding1,0.085841695
Applied Sciences,2010,Female,inbreeding2,0.149386845
Applied Sciences,2010,Female,inbreeding3,0.182831661
Applied Sciences,2010,Female,inbreeding4,0.246376812
Applied Sciences,2011,Male,inbreeding1,0.075144509
Applied Sciences,2011,Male,inbreeding2,0.138728324
Applied Sciences,2011,Male,inbreeding3,0.158236994
Applied Sciences,2011,Male,inbreeding4,0.221820809
Applied Sciences,2011,Female,inbreeding1,0.076210093
Applied Sciences,2011,Female,inbreeding2,0.140061792
Applied Sciences,2011,Female,inbreeding3,0.169927909
Applied Sciences,2011,Female,inbreeding4,0.233779609
Applied Sciences,2012,Male,inbreeding1,0.077238551
Applied Sciences,2012,Male,inbreeding2,0.146958305
Applied Sciences,2012,Male,inbreeding3,0.173615858
Applied Sciences,2012,Male,inbreeding4,0.243335612
Applied Sciences,2012,Female,inbreeding1,0.070733864
Applied Sciences,2012,Female,inbreeding2,0.142351901
Applied Sciences,2012,Female,inbreeding3,0.16091954
Applied Sciences,2012,Female,inbreeding4,0.232537577
Applied Sciences,2013,Male,inbreeding1,0.060585885
Applied Sciences,2013,Male,inbreeding2,0.119174434
Applied Sciences,2013,Male,inbreeding3,0.161784288
Applied Sciences,2013,Male,inbreeding4,0.220372836
Applied Sciences,2013,Female,inbreeding1,0.079378775
Applied Sciences,2013,Female,inbreeding2,0.151855047
Applied Sciences,2013,Female,inbreeding3,0.18377912
Applied Sciences,2013,Female,inbreeding4,0.256255393
Applied Sciences,2014,Male,inbreeding1,0.069809069
Applied Sciences,2014,Male,inbreeding2,0.131264916
Applied Sciences,2014,Male,inbreeding3,0.168854415
Applied Sciences,2014,Male,inbreeding4,0.230310263
Applied Sciences,2014,Female,inbreeding1,0.069354839
Applied Sciences,2014,Female,inbreeding2,0.130645161
Applied Sciences,2014,Female,inbreeding3,0.179032258
Applied Sciences,2014,Female,inbreeding4,0.240322581
Applied Sciences,2015,Male,inbreeding1,0.078869923
Applied Sciences,2015,Male,inbreeding2,0.136550912
Applied Sciences,2015,Male,inbreeding3,0.171865803
Applied Sciences,2015,Male,inbreeding4,0.229546792
Applied Sciences,2015,Female,inbreeding1,0.073959938
Applied Sciences,2015,Female,inbreeding2,0.133281972
Applied Sciences,2015,Female,inbreeding3,0.177195686
Applied Sciences,2015,Female,inbreeding4,0.23651772
Applied Sciences,2016,Male,inbreeding1,0.066523605
Applied Sciences,2016,Male,inbreeding2,0.123927039
Applied Sciences,2016,Male,inbreeding3,0.177575107
Applied Sciences,2016,Male,inbreeding4,0.234978541
Applied Sciences,2016,Female,inbreeding1,0.079342387
Applied Sciences,2016,Female,inbreeding2,0.140814868
Applied Sciences,2016,Female,inbreeding3,0.190850608
Applied Sciences,2016,Female,inbreeding4,0.252323088
Applied Sciences,2017,Male,inbreeding1,0.070080863
Applied Sciences,2017,Male,inbreeding2,0.120215633
