gender,w_ranking,inbreeding1,inbreeding2,inbreeding3,inbreeding4
Male,129,0.096534653,0.189356436,0.216584158,0.309405941
Female,129,0.098654709,0.14573991,0.239910314,0.286995516
Male,133,0.024137931,0.04137931,0.127586207,0.144827586
Female,133,0.024390244,0.034146341,0.131707317,0.141463415
Male,134,0.0859375,0.119791667,0.286458333,0.3203125
Female,134,0.094527363,0.129353234,0.303482587,0.338308458
Male,136,0.036750484,0.067698259,0.201160542,0.232108317
Female,136,0.036474164,0.063829787,0.17325228,0.200607903
Male,138,0.067010309,0.108247423,0.231958763,0.273195876
Female,138,0.042735043,0.068376068,0.179487179,0.205128205
Male,140,0.10835629,0.150596878,0.279155188,0.321395776
Female,140,0.095890411,0.130136986,0.270547945,0.304794521
Male,143,0.083172147,0.145067698,0.255319149,0.3172147
Female,143,0.189035917,0.245746692,0.338374291,0.395085066
Male,145,0.096551724,0.135632184,0.344827586,0.383908046
Female,145,0.068965517,0.088122605,0.337164751,0.356321839
Male,146,0.10106383,0.140957447,0.295212766,0.335106383
Female,146,0.092307692,0.112820513,0.333333333,0.353846154
Male,148,0.046666667,0.088888889,0.193333333,0.235555556
Female,148,0.048507463,0.108208955,0.212686567,0.27238806
Male,149,0.068965517,0.103448276,0.206896552,0.24137931
Female,149,0.041666667,0.083333333,0.041666667,0.083333333
Male,150,0.170212766,0.241134752,0.283687943,0.354609929
Female,150,0.219512195,0.268292683,0.349593496,0.398373984
Male,152,0.059649123,0.080701754,0.247953216,0.269005848
Female,152,0.056962025,0.084388186,0.221518987,0.248945148
Male,156,0.087931034,0.155172414,0.25,0.317241379
Female,156,0.062330623,0.111111111,0.227642276,0.276422764
Male,160,0.063291139,0.08649789,0.198312236,0.221518987
Female,160,0.085106383,0.113475177,0.230496454,0.258865248
Male,163,0.053571429,0.066964286,0.200892857,0.214285714
Female,163,0.067961165,0.106796117,0.213592233,0.252427184
Male,165,0.064133017,0.080760095,0.282660333,0.299287411
Female,165,0.054298643,0.07239819,0.257918552,0.2760181
Male,167,0.054237288,0.101694915,0.233898305,0.281355932
Female,167,0.014705882,0.051470588,0.220588235,0.257352941
Male,168,0.1,0.225,0.2,0.325
Female,168,0.145454545,0.218181818,0.181818182,0.254545455
Male,169,0.071856287,0.101796407,0.275449102,0.305389222
Female,169,0.035294118,0.094117647,0.2,0.258823529
Male,170,0.026548673,0.057522124,0.154867257,0.185840708
Female,170,0.026785714,0.0625,0.196428571,0.232142857
Male,171,0.196581197,0.239316239,0.435897436,0.478632479
Female,171,0.116071429,0.160714286,0.339285714,0.383928571
Male,173,0,0,0,0
Female,173,0,0.111111111,0,0.111111111
Male,174,0,0.035714286,0.107142857,0.142857143
Female,174,0,0,0.111111111,0.111111111
Male,175,0.072463768,0.124223602,0.219461698,0.271221532
Female,175,0.09352518,0.125899281,0.255395683,0.287769784
Male,178,0.06097561,0.085365854,0.207317073,0.231707317
Female,178,0.064935065,0.090909091,0.220779221,0.246753247
Male,180,0.056074766,0.081775701,0.161214953,0.186915888
Female,180,0.063414634,0.092682927,0.2,0.229268293
Male,182,0.072580645,0.112903226,0.225806452,0.266129032
Female,182,0.125,0.136363636,0.306818182,0.318181818
Male,185,0.407894737,0.526315789,0.513157895,0.631578947
Female,185,0.46969697,0.606060606,0.53030303,0.666666667
Male,186,0.084468665,0.133514986,0.25613079,0.305177112
Female,186,0.115537849,0.147410359,0.326693227,0.358565737
Male,191,0.074829932,0.142857143,0.217687075,0.285714286
Female,191,0.023529412,0.070588235,0.164705882,0.211764706
Male,192,0.119205298,0.132450331,0.311258278,0.324503311
Female,192,0.013513514,0.040540541,0.27027027,0.297297297
Male,194,0.056962025,0.075949367,0.151898734,0.170886076
Female,194,0.098214286,0.151785714,0.223214286,0.276785714
Male,196,0.207446809,0.265957447,0.441489362,0.5
Female,196,0.204,0.284,0.412,0.492
Male,199,0.0781893,0.106995885,0.251028807,0.279835391
Female,199,0.069444444,0.125,0.208333333,0.263888889
Male,202,0.296551724,0.425287356,0.487356322,0.616091954
Female,202,0.308600337,0.451939292,0.522765599,0.666104553
Male,203,0.109215017,0.233788396,0.273037543,0.397610922
Female,203,0.128125,0.2625,0.290625,0.425
Male,206,0.022346369,0.094972067,0.173184358,0.245810056
Female,206,0.063636364,0.081818182,0.309090909,0.327272727
Male,208,0.112676056,0.133802817,0.26056338,0.281690141
Female,208,0.095588235,0.147058824,0.286764706,0.338235294
Male,209,0.156739812,0.219435737,0.398119122,0.460815047
Female,209,0.175324675,0.25,0.383116883,0.457792208
Male,212,0.484615385,0.553846154,0.692307692,0.761538462
Female,212,0.539007092,0.617021277,0.709219858,0.787234043
Male,213,0.015075377,0.281407035,0.070351759,0.336683417
Female,213,0.007751938,0.255813953,0.023255814,0.271317829
Male,215,0.125615764,0.172413793,0.248768473,0.295566502
Female,215,0.12704918,0.18852459,0.262295082,0.323770492
Male,217,0.07165109,0.090342679,0.258566978,0.277258567
Female,217,0.08,0.102857143,0.314285714,0.337142857
Male,219,0.265822785,0.35443038,0.392405063,0.481012658
Female,219,0.259574468,0.314893617,0.391489362,0.446808511
Male,223,0.161616162,0.212121212,0.404040404,0.454545455
Female,223,0.141025641,0.192307692,0.423076923,0.474358974
Male,225,0.064814815,0.097222222,0.189814815,0.222222222
Female,225,0.030769231,0.076923077,0.130769231,0.176923077
Male,226,0.12826087,0.215217391,0.286956522,0.373913043
Female,226,0.117647059,0.214285714,0.260504202,0.357142857
Male,230,0.036,0.104,0.184,0.252
Female,230,0.033057851,0.05785124,0.181818182,0.20661157
Male,231,0.222222222,0.274509804,0.41503268,0.467320261
Female,231,0.251428571,0.311428571,0.457142857,0.517142857
Male,234,0.095744681,0.164893617,0.223404255,0.292553191
Female,234,0.133333333,0.222222222,0.333333333,0.422222222
Male,236,0.136075949,0.193037975,0.306962025,0.363924051
Female,236,0.093896714,0.150234742,0.286384977,0.342723005
Male,239,0.031914894,0.053191489,0.138297872,0.159574468
Female,239,0.02739726,0.054794521,0.109589041,0.136986301
Male,240,0.054794521,0.123287671,0.178082192,0.246575342
Female,240,0.095238095,0.095238095,0.261904762,0.261904762
Male,241,0.043307087,0.094488189,0.12992126,0.181102362
Female,241,0.143617021,0.175531915,0.25,0.281914894
Male,244,0.160377358,0.210691824,0.342767296,0.393081761
Female,244,0.150259067,0.212435233,0.383419689,0.445595855
Male,247,0.235827664,0.333333333,0.426303855,0.523809524
Female,247,0.244588745,0.365800866,0.454545455,0.575757576
Male,250,0.289719626,0.411214953,0.387850467,0.509345794
Female,250,0.226027397,0.404109589,0.356164384,0.534246575
Male,253,0.073248408,0.111464968,0.181528662,0.219745223
Female,253,0.081218274,0.126903553,0.243654822,0.289340102
Male,256,0.145454545,0.206060606,0.290909091,0.351515152
Female,256,0.218487395,0.285714286,0.369747899,0.43697479
Male,260,0.244897959,0.306122449,0.428571429,0.489795918
Female,260,0.341772152,0.417721519,0.455696203,0.53164557
Male,261,0.034013605,0.068027211,0.149659864,0.183673469
Female,261,0.075757576,0.098484848,0.242424242,0.265151515
Male,263,0.062730627,0.125461255,0.195571956,0.258302583
Female,263,0.044444444,0.103703704,0.162962963,0.222222222
Male,265,0.03202847,0.078291815,0.170818505,0.217081851
Female,265,0.037037037,0.063492063,0.148148148,0.174603175
Male,267,0.103225806,0.129032258,0.374193548,0.4
Female,267,0.08,0.09,0.44,0.45
Male,269,0.029810298,0.054200542,0.138211382,0.162601626
Female,269,0.035242291,0.070484581,0.162995595,0.198237885
Male,271,0.005681818,0.028409091,0.102272727,0.125
Female,271,0.012658228,0.018987342,0.082278481,0.088607595
Male,273,0.207865169,0.269662921,0.353932584,0.415730337
Female,273,0.259136213,0.328903654,0.458471761,0.528239203
Male,276,0.022099448,0.055248619,0.160220994,0.193370166
Female,276,0.009615385,0.048076923,0.144230769,0.182692308
Male,277,0.054200542,0.089430894,0.216802168,0.25203252
Female,277,0.098265896,0.156069364,0.219653179,0.277456647
Male,280,0.06185567,0.092783505,0.231958763,0.262886598
Female,280,0.102803738,0.168224299,0.271028037,0.336448598
Male,282,0.136865342,0.196467991,0.247240618,0.306843267
Female,282,0.154362416,0.241610738,0.295302013,0.382550336
Male,284,0.048780488,0.12195122,0.12195122,0.195121951
Female,284,0,0.038461538,0.076923077,0.115384615
Male,286,0.108510638,0.14893617,0.234042553,0.274468085
Female,286,0.097222222,0.121527778,0.256944444,0.28125
Male,290,0.153488372,0.241860465,0.218604651,0.306976744
Female,290,0.028571429,0.085714286,0.185714286,0.242857143
Male,292,0.127340824,0.284644195,0.254681648,0.411985019
Female,292,0.063492063,0.158730159,0.238095238,0.333333333
Male,294,0.153543307,0.25984252,0.377952756,0.484251969
