country_w,year,gender,variable,value
AU,1998,Male,mean_inbreeding5,0.723076923
AU,1998,Female,mean_inbreeding1,0.162790698
AU,1998,Female,mean_inbreeding2,0.162790698
AU,1998,Female,mean_inbreeding3,0.325581395
AU,1998,Female,mean_inbreeding4,0.325581395
AU,1998,Female,mean_inbreeding5,0.674418605
AU,1999,Male,mean_inbreeding1,0.120481928
AU,1999,Male,mean_inbreeding2,0.168674699
AU,1999,Male,mean_inbreeding3,0.325301205
AU,1999,Male,mean_inbreeding4,0.373493976
AU,1999,Male,mean_inbreeding5,0.626506024
AU,1999,Female,mean_inbreeding1,0.170731707
AU,1999,Female,mean_inbreeding2,0.170731707
AU,1999,Female,mean_inbreeding3,0.292682927
AU,1999,Female,mean_inbreeding4,0.292682927
AU,1999,Female,mean_inbreeding5,0.707317073
AU,2000,Male,mean_inbreeding1,0.127906977
AU,2000,Male,mean_inbreeding2,0.174418605
AU,2000,Male,mean_inbreeding3,0.325581395
AU,2000,Male,mean_inbreeding4,0.372093023
AU,2000,Male,mean_inbreeding5,0.627906977
AU,2000,Female,mean_inbreeding1,0.116666667
AU,2000,Female,mean_inbreeding2,0.166666667
AU,2000,Female,mean_inbreeding3,0.316666667
AU,2000,Female,mean_inbreeding4,0.366666667
AU,2000,Female,mean_inbreeding5,0.633333333
AU,2001,Male,mean_inbreeding1,0.088235294
AU,2001,Male,mean_inbreeding2,0.137254902
AU,2001,Male,mean_inbreeding3,0.235294118
AU,2001,Male,mean_inbreeding4,0.284313725
AU,2001,Male,mean_inbreeding5,0.715686275
AU,2001,Female,mean_inbreeding1,0.185185185
AU,2001,Female,mean_inbreeding2,0.222222222
AU,2001,Female,mean_inbreeding3,0.462962963
AU,2001,Female,mean_inbreeding4,0.5
AU,2001,Female,mean_inbreeding5,0.5
AU,2002,Male,mean_inbreeding1,0.091743119
AU,2002,Male,mean_inbreeding2,0.137614679
AU,2002,Male,mean_inbreeding3,0.23853211
AU,2002,Male,mean_inbreeding4,0.28440367
AU,2002,Male,mean_inbreeding5,0.71559633
AU,2002,Female,mean_inbreeding1,0.06557377
AU,2002,Female,mean_inbreeding2,0.196721311
AU,2002,Female,mean_inbreeding3,0.295081967
AU,2002,Female,mean_inbreeding4,0.426229508
AU,2002,Female,mean_inbreeding5,0.573770492
AU,2003,Male,mean_inbreeding1,0.144067797
AU,2003,Male,mean_inbreeding2,0.186440678
AU,2003,Male,mean_inbreeding3,0.313559322
AU,2003,Male,mean_inbreeding4,0.355932203
AU,2003,Male,mean_inbreeding5,0.644067797
AU,2003,Female,mean_inbreeding1,0.109756098
AU,2003,Female,mean_inbreeding2,0.219512195
AU,2003,Female,mean_inbreeding3,0.292682927
AU,2003,Female,mean_inbreeding4,0.402439024
AU,2003,Female,mean_inbreeding5,0.597560976
AU,2004,Male,mean_inbreeding1,0.148148148
AU,2004,Male,mean_inbreeding2,0.207407407
AU,2004,Male,mean_inbreeding3,0.303703704
AU,2004,Male,mean_inbreeding4,0.362962963
AU,2004,Male,mean_inbreeding5,0.637037037
AU,2004,Female,mean_inbreeding1,0.164383562
AU,2004,Female,mean_inbreeding2,0.178082192
AU,2004,Female,mean_inbreeding3,0.260273973
AU,2004,Female,mean_inbreeding4,0.273972603
AU,2004,Female,mean_inbreeding5,0.726027397
AU,2005,Male,mean_inbreeding1,0.112582781
AU,2005,Male,mean_inbreeding2,0.165562914
AU,2005,Male,mean_inbreeding3,0.245033113
AU,2005,Male,mean_inbreeding4,0.298013245
AU,2005,Male,mean_inbreeding5,0.701986755
AU,2005,Female,mean_inbreeding1,0.209876543
AU,2005,Female,mean_inbreeding2,0.222222222
AU,2005,Female,mean_inbreeding3,0.358024691
AU,2005,Female,mean_inbreeding4,0.37037037
AU,2005,Female,mean_inbreeding5,0.62962963
AU,2006,Male,mean_inbreeding1,0.133333333
AU,2006,Male,mean_inbreeding2,0.157575758
AU,2006,Male,mean_inbreeding3,0.296969697
AU,2006,Male,mean_inbreeding4,0.321212121
AU,2006,Male,mean_inbreeding5,0.678787879
AU,2006,Female,mean_inbreeding1,0.11627907
AU,2006,Female,mean_inbreeding2,0.174418605
AU,2006,Female,mean_inbreeding3,0.279069767
AU,2006,Female,mean_inbreeding4,0.337209302
AU,2006,Female,mean_inbreeding5,0.662790698
AU,2007,Male,mean_inbreeding1,0.15
AU,2007,Male,mean_inbreeding2,0.17
AU,2007,Male,mean_inbreeding3,0.3
AU,2007,Male,mean_inbreeding4,0.32
AU,2007,Male,mean_inbreeding5,0.68
AU,2007,Female,mean_inbreeding1,0.171875
AU,2007,Female,mean_inbreeding2,0.21875
AU,2007,Female,mean_inbreeding3,0.3359375
AU,2007,Female,mean_inbreeding4,0.3828125
AU,2007,Female,mean_inbreeding5,0.6171875
AU,2008,Male,mean_inbreeding1,0.1
AU,2008,Male,mean_inbreeding2,0.131818182
AU,2008,Male,mean_inbreeding3,0.231818182
AU,2008,Male,mean_inbreeding4,0.263636364
AU,2008,Male,mean_inbreeding5,0.736363636
AU,2008,Female,mean_inbreeding1,0.147540984
AU,2008,Female,mean_inbreeding2,0.196721311
AU,2008,Female,mean_inbreeding3,0.360655738
AU,2008,Female,mean_inbreeding4,0.409836066
AU,2008,Female,mean_inbreeding5,0.590163934
AU,2009,Male,mean_inbreeding1,0.174358974
AU,2009,Male,mean_inbreeding2,0.21025641
AU,2009,Male,mean_inbreeding3,0.312820513
AU,2009,Male,mean_inbreeding4,0.348717949
AU,2009,Male,mean_inbreeding5,0.651282051
AU,2009,Female,mean_inbreeding1,0.149659864
AU,2009,Female,mean_inbreeding2,0.217687075
AU,2009,Female,mean_inbreeding3,0.346938776
AU,2009,Female,mean_inbreeding4,0.414965986
AU,2009,Female,mean_inbreeding5,0.585034014
AU,2010,Male,mean_inbreeding1,0.130434783
AU,2010,Male,mean_inbreeding2,0.192028986
AU,2010,Male,mean_inbreeding3,0.27173913
AU,2010,Male,mean_inbreeding4,0.333333333
AU,2010,Male,mean_inbreeding5,0.666666667
AU,2010,Female,mean_inbreeding1,0.144736842
AU,2010,Female,mean_inbreeding2,0.197368421
AU,2010,Female,mean_inbreeding3,0.289473684
AU,2010,Female,mean_inbreeding4,0.342105263
AU,2010,Female,mean_inbreeding5,0.657894737
AU,2011,Male,mean_inbreeding1,0.151515152
AU,2011,Male,mean_inbreeding2,0.181818182
AU,2011,Male,mean_inbreeding3,0.291666667
AU,2011,Male,mean_inbreeding4,0.321969697
AU,2011,Male,mean_inbreeding5,0.678030303
AU,2011,Female,mean_inbreeding1,0.104712042
AU,2011,Female,mean_inbreeding2,0.130890052
AU,2011,Female,mean_inbreeding3,0.303664921
AU,2011,Female,mean_inbreeding4,0.329842932
