year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4,inbreeding5,country_w,w_ranking,w_subject2,ranking_category,branking,dranking,continent_b,continent_d,continent_w,first_work_pre_avg_publications,first_work_pre_avg_jif,work_bachelor_year,country_b,country_d,bsubject2,dsubject2,work_to_2022,start_year_facawork_oid_sum_afterwork,start_year_facawork_oid_jifsum_afterwork,first_work_pre_avg_publications_afterwork,first_work_pre_avg_jif_afterwork,gender_inbreeding1,gender_inbreeding2,gender_inbreeding3,gender_inbreeding4
2017,1,0,0,0,0,1,RS,NA,6,>2000,1132,1132,Europe,Europe,Europe,0,0,6,RS,RS,7,8,5,5,25.1,1,5.02,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2004,0,0,0,0,0,1,FR,NA,7,>2000,1258,290,Europe,Europe,Europe,0.083333333,0,12,FR,FR,4,4,18,35,156.47,1.944444444,8.692777778,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2010,1,1,1,1,1,0,BR,120,7,0-500,120,120,Latin America,Latin America,Latin America,0,0,14,BR,BR,1,1,12,5,5.4,0.416666667,0.45,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2019,0,0,0,0,0,1,US,2,8,0-500,547,547,Asia,Asia,North America,0.454545455,1.527272727,11,TH,TH,8,8,3,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
1991,0,0,0,0,0,1,ZA,244,4,0-500,304,244,Africa,Africa,Africa,0,0,8,ZA,ZA,4,4,31,503,1148.1,16.22580645,37.03548387,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2010,1,0,0,1,1,0,LR,165,6,0-500,767,165,North America,North America,Africa,0,0,4,US,US,8,7,12,5,22.8,0.416666667,1.9,Female Non-Inbred,Female Non-Inbred,Female Inbred,Female Inbred
2002,1,0,0,0,0,1,US,1465,5,1000-1500,NA,143,Asia,North America,North America,0,0,16,IN,US,5,5,20,3,3.3,0.15,0.165,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2018,1,0,0,0,0,1,US,133,4,0-500,2001,1271,Asia,Asia,North America,1,5.036363636,11,IN,IN,4,4,4,8,114.3,2,28.575,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1993,0,0,1,0,1,0,KR,889,8,500-1000,889,286,Asia,Asia,Asia,0,0,11,KR,JP,8,8,29,0,0,0,0,Male Non-Inbred,Male Inbred,Male Non-Inbred,Male Inbred
1997,1,1,1,1,1,0,US,108,1,0-500,108,108,North America,North America,North America,0.055555556,0,18,US,US,1,1,25,14,2.4,0.56,0.096,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2014,0,0,0,0,0,1,US,NA,6,>2000,46,363,North America,Africa,North America,NA,NA,.,US,EG,7,7,8,64,206.9,8,25.8625,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2014,0,0,0,0,0,1,ZA,875,5,500-1000,304,875,Africa,Africa,Africa,0.181818182,0.209090909,11,ZA,ZA,6,5,8,13,24.9,1.625,3.1125,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2021,0,0,0,0,0,1,US,618,1,500-1000,2001,25,North America,North America,North America,0,0,12,US,US,1,6,1,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
