author_id,author_gender,author_academic_age,field_id,field,domain_id,domain,orcid,last_institution_id,last_institution_name,last_institution_country,last_institution_type,degree_institution_name,degree_institution_id,degree_institution_country,degree_institution_type,last_degree,graduate_year,degree_rank_type,us_top_degree_inst100,last_flow_year,institution_name,QS_2025,USNews_2025,THE_2025,ARWU_2024,rank_mean,is_inbred,rank_type
5025894735,Male,52,22,Engineering,3,Physical Sciences,0000-0003-0769-4618,78577930,Columbia University,US,education,Technion �?Israel Institute of Technology,174306211,IL,education,phd,1999,3,0,2015,Columbia University,34,9,18,8,17.25,0,1
5049116947,Female,33,27,Medicine,4,Health Sciences,0000-0002-9404-7736,118564535,University of Bern,CH,education,University of Toronto,185261750,CA,education,phd,1992,3,0,1999,University of Bern,161,111,104,131,126.75,0,1
5074628106,Male,65,27,Medicine,4,Health Sciences,0000-0002-9695-3564,78577930,Columbia University,US,education,Johns Hopkins University,145311948,US,education,phd,1990,1,0,2002,Columbia University,34,9,18,8,17.25,0,1
5082095023,Male,34,22,Engineering,3,Physical Sciences,0000-0001-5476-7379,111979921,Northwestern University,US,education,Massachusetts Institute of Technology,63966007,US,education,phd,1991,1,0,1998,Northwestern University,50,24,31,33,34.5,0,1
5060938733,Male,29,25,Materials Science,3,Physical Sciences,0000-0003-4642-0548,137902535,North Carolina State University,US,education,University of Florida,33213144,US,education,phd,2004,1,0,2006,North Carolina State University,311,262,264,217,263.5,0,2
5070671062,Male,55,28,Neuroscience,1,Life Sciences,0000-0002-3523-1103,36258959,"University of California, San Diego",US,education,Harvard University,136199984,US,education,phd,1969,1,0,1976,"University of California, San Diego",72,21,34,18,36.25,0,1
5008909182,Male,61,31,Physics and Astronomy,3,Physical Sciences,0000-0001-7554-3075,32971472,Yale University,US,education,Massachusetts Institute of Technology,63966007,US,education,phd,1969,1,0,1979,Yale University,23,10,10,11,13.5,0,1
5077626949,Male,33,26,Mathematics,3,Physical Sciences,0000-0002-7562-1341,98251732,McMaster University,CA,education,University of Cambridge,241749,GB,education,phd,1993,3,0,2000,McMaster University,176,127,116,142,140.25,0,1
5068774295,Male,26,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-7488-2470,130238516,University of Minnesota,US,education,University of Chicago,40347166,US,education,phd,1999,1,0,2004,University of Minnesota,203,63,87,47,100,0,1
5006430396,Male,25,25,Materials Science,3,Physical Sciences,0000-0002-7407-8287,16835326,University of St Andrews,GB,education,University of Göttingen,74656192,DE,education,phd,2003,3,0,2016,University of St Andrews,104,394,185,341,256,0,2
5074885018,Female,60,25,Materials Science,3,Physical Sciences,0000-0002-3260-0364,55732556,Arizona State University,US,education,University of Chicago,40347166,US,education,phd,1967,1,0,1971,Arizona State University,200,179,207,196,195.5,0,1
5030849308,Male,31,25,Materials Science,3,Physical Sciences,0000-0002-9151-4394,76198965,Friedrich Schiller University Jena,DE,education,"University of California, Davis",84218800,US,education,phd,2002,1,0,2009,Friedrich Schiller University Jena,,385,249,,317,0,2
5086530852,Male,20,17,Computer Science,3,Physical Sciences,0000-0001-5867-8584,119939252,Indraprastha Institute of Information Technology Delhi,IN,education,"Rutgers, The State University of New Jersey",102322142,US,education,phd,2011,2,0,2012,Indraprastha Institute of Information Technology Delhi,,,1151,,1151,0,4
